time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
2.531000, -0.287530, -0.335747, 0.000557, 1.709513, -0.389251, 0.012009, 0.000084, -0.931251, -181.415817, 77.553535, -181.415817, 77.553535, 1.027849
2.564000, -0.311444, -0.368436, 0.000751, 1.713243, -0.420148, 0.012616, 0.000099, -0.940391, -181.391464, 77.500732, -181.391464, 77.500732, 1.027848
2.597000, -0.335147, -0.400346, 0.000873, 1.717520, -0.449153, 0.013189, 0.000115, -0.950225, -181.368301, 77.447067, -181.368301, 77.447067, 1.027847
2.630000, -0.360777, -0.427725, 0.000903, 1.722221, -0.475962, 0.013721, 0.000133, -0.960720, -181.346283, 77.392555, -181.346283, 77.392555, 1.027847
2.663000, -0.385213, -0.454756, 0.000873, 1.727395, -0.500499, 0.014207, 0.000149, -0.971840, -181.325439, 77.337212, -181.325439, 77.337212, 1.027846
2.696000, -0.408540, -0.481018, 0.000837, 1.733079, -0.522620, 0.014641, 0.000165, -0.983546, -181.305801, 77.281067, -181.305801, 77.281067, 1.027845
2.729000, -0.431444, -0.505055, 0.000783, 1.739256, -0.542218, 0.015020, 0.000179, -0.995793, -181.287308, 77.224136, -181.287308, 77.224136, 1.027845
2.762000, -0.451460, -0.530685, 0.000767, 1.746059, -0.559364, 0.015339, 0.000193, -1.008536, -181.269943, 77.166451, -181.269943, 77.166451, 1.027844
2.795000, -0.472453, -0.551578, 0.000738, 1.753371, -0.574081, 0.015599, 0.000206, -1.021726, -181.253693, 77.108040, -181.253693, 77.108040, 1.027844
2.828000, -0.493737, -0.568524, 0.000703, 1.761110, -0.586429, 0.015796, 0.000219, -1.035314, -181.238571, 77.048935, -181.238571, 77.048935, 1.027843
2.861000, -0.511977, -0.586606, 0.000681, 1.769390, -0.596445, 0.015931, 0.000230, -1.049248, -181.224533, 76.989166, -181.224533, 76.989166, 1.027844
2.894000, -0.529358, -0.602202, 0.000690, 1.778183, -0.604163, 0.016005, 0.000242, -1.063477, -181.211517, 76.928764, -181.211517, 76.928764, 1.027844
2.927000, -0.548103, -0.611439, 0.000661, 1.787309, -0.609928, 0.016018, 0.000253, -1.077952, -181.199509, 76.867760, -181.199509, 76.867760, 1.027844
2.960000, -0.566448, -0.616708, 0.000611, 1.796679, -0.613773, 0.015975, 0.000263, -1.092625, -181.188492, 76.806190, -181.188492, 76.806190, 1.027845
2.993000, -0.583024, -0.620572, 0.000554, 1.806301, -0.615816, 0.015878, 0.000272, -1.107448, -181.178421, 76.744087, -181.178421, 76.744087, 1.027846
3.026000, -0.599737, -0.619194, 0.000495, 1.816031, -0.616206, 0.015730, 0.000280, -1.122375, -181.169235, 76.681480, -181.169235, 76.681480, 1.027847
3.059000, -0.627049, -0.588592, 0.000205, 1.824854, -0.615122, 0.015522, 0.000282, -1.137359, -181.160889, 76.618423, -181.160889, 76.618423, 1.027848
3.092000, -0.658191, -0.537300, -0.000423, 1.832099, -0.612829, 0.015271, 0.000273, -1.152333, -181.153473, 76.554985, -181.153473, 76.554985, 1.027847
3.125000, -0.660416, -0.542482, -0.000943, 1.839881, -0.609394, 0.014986, 0.000255, -1.167259, -181.146835, 76.491241, -181.146835, 76.491241, 1.027845
3.158000, -0.658958, -0.556952, -0.000872, 1.848534, -0.604831, 0.014674, 0.000238, -1.182132, -181.140976, 76.427147, -181.140976, 76.427147, 1.027845
3.191000, -0.660633, -0.562605, -0.000565, 1.857747, -0.599131, 0.014342, 0.000227, -1.196927, -181.135895, 76.362724, -181.135895, 76.362724, 1.027845
3.224000, -0.663915, -0.560719, -0.000222, 1.867266, -0.592375, 0.013992, 0.000222, -1.211616, -181.131485, 76.297974, -181.131485, 76.297974, 1.027846
3.257000, -0.668291, -0.552058, 0.000050, 1.876862, -0.584777, 0.013628, 0.000221, -1.226175, -181.127747, 76.232925, -181.127747, 76.232925, 1.027848
3.290000, -0.673109, -0.537323, 0.000211, 1.886335, -0.576405, 0.013251, 0.000224, -1.240578, -181.124680, 76.167580, -181.124680, 76.167580, 1.027851
3.323000, -0.676615, -0.520917, 0.000279, 1.895640, -0.567327, 0.012865, 0.000228, -1.254803, -181.122223, 76.101959, -181.122223, 76.101959, 1.027854
3.356000, -0.679406, -0.501265, 0.000300, 1.904671, -0.557657, 0.012473, 0.000232, -1.268832, -181.120361, 76.036102, -181.120361, 76.036102, 1.027858
3.389000, -0.679464, -0.484978, 0.000301, 1.913552, -0.547456, 0.012076, 0.000236, -1.282645, -181.119064, 75.970001, -181.119064, 75.970001, 1.027861
3.422000, -0.678572, -0.466154, 0.000302, 1.922199, -0.536678, 0.011677, 0.000240, -1.296225, -181.118301, 75.903702, -181.118301, 75.903702, 1.027864
3.455000, -0.677203, -0.444182, 0.000246, 1.930502, -0.525573, 0.011277, 0.000244, -1.309559, -181.118042, 75.837189, -181.118042, 75.837189, 1.027867
3.488000, -0.673069, -0.427524, 0.000240, 1.938640, -0.514121, 0.010880, 0.000247, -1.322639, -181.118271, 75.770493, -181.118271, 75.770493, 1.027869
3.521000, -0.668162, -0.408829, 0.000226, 1.946540, -0.502332, 0.010487, 0.000250, -1.335450, -181.118973, 75.703629, -181.118973, 75.703629, 1.027872
3.554000, -0.662211, -0.389621, 0.000218, 1.954176, -0.490249, 0.010097, 0.000252, -1.347984, -181.120117, 75.636597, -181.120117, 75.636597, 1.027875
3.587000, -0.653982, -0.375874, 0.000275, 1.961725, -0.477918, 0.009713, 0.000256, -1.360233, -181.121658, 75.569420, -181.121658, 75.569420, 1.027878
3.620000, -0.645522, -0.359628, 0.000317, 1.969091, -0.465381, 0.009335, 0.000260, -1.372192, -181.123596, 75.502075, -181.123596, 75.502075, 1.027881
3.653000, -0.635794, -0.345149, 0.000367, 1.976323, -0.452654, 0.008963, 0.000266, -1.383854, -181.125916, 75.434601, -181.125916, 75.434601, 1.027884
